plot_id;red_edge;green;blue;red;nir;timepoint
88;0.224686454;0.098379002;0.033864641;0.092574337;0.332671604;1.4
89;0.178870283;0.073921526;0.030726184;0.08894217;0.28841276;1.4
90;0.219111924;0.085926979;0.029649872;0.069553464;0.391689922;1.4
91;0.217380973;0.086076226;0.028506957;0.076860359;0.352061638;1.4
92;0.211891178;0.093388431;0.03604345;0.112085027;0.307354017;1.4
93;0.20402081;0.083925345;0.034559508;0.099903253;0.31722172;1.4
94;0.208426157;0.085475877;0.034128618;0.079976109;0.348384702;1.4
95;0.204812794;0.08522757;0.029475031;0.084773302;0.319702478;1.4
96;0.176579579;0.068857425;0.026966031;0.077537974;0.294789684;1.4
97;0.226431343;0.100649856;0.04067168;0.126886849;0.315965849;1.4
98;0.183899895;0.069963306;0.02461558;0.065437433;0.320584341;1.4
99;0.226702293;0.094709973;0.034809774;0.088655002;0.360727341;1.4
100;0.202741537;0.084162426;0.032388995;0.111005998;0.302599792;1.4
101;0.175859907;0.071963539;0.030241619;0.098744004;0.268206786;1.4
102;0.197753465;0.075893773;0.024665681;0.070095043;0.323879089;1.4
103;0.189337114;0.074497267;0.026529453;0.071842195;0.315674792;1.4
104;0.220180263;0.092133735;0.036528851;0.097258061;0.339426565;1.4
105;0.216738787;0.084782567;0.028033821;0.054954926;0.418149338;1.4
106;0.21913472;0.088782374;0.03343807;0.081453949;0.361065469;1.4
107;0.223251258;0.092746659;0.030670566;0.108598296;0.317220574;1.4
108;0.236060582;0.100485081;0.033194655;0.089919332;0.352732645;1.4
109;0.187253556;0.071503425;0.024486263;0.065937982;0.327721015;1.4
110;0.180000067;0.07041429;0.027648684;0.081729809;0.294431099;1.4
111;0.166133136;0.065756925;0.028496574;0.088265884;0.269438632;1.4
112;0.176077485;0.069353833;0.028888713;0.103038646;0.268338378;1.4
113;0.196726372;0.077790289;0.025095474;0.079759933;0.30776718;1.4
114;0.234304853;0.09655735;0.034795335;0.115847395;0.341454843;1.4
115;0.186793473;0.069499816;0.022232293;0.055960318;0.347160258;1.4
116;0.206638185;0.088474849;0.038620489;0.111429664;0.303563156;1.4
117;0.21628501;0.087763811;0.03423157;0.095616772;0.331812538;1.4
118;0.221199894;0.086971318;0.026900108;0.0704714;0.356937227;1.4
119;0.223606329;0.093249444;0.03354102;0.114533607;0.32672481;1.4
120;0.179222601;0.069078799;0.023961724;0.061689252;0.327072908;1.4
121;0.234482016;0.093179291;0.029437209;0.077294674;0.380173079;1.4
122;0.20906328;0.086981054;0.034322515;0.118398402;0.302857575;1.4
123;0.236091005;0.097852597;0.034711643;0.091608422;0.373693382;1.4
124;0.251709776;0.106375791;0.033436162;0.09910551;0.366947848;1.4
125;0.231162716;0.09513679;0.031788854;0.075274887;0.379789652;1.4
126;0.212666167;0.086900783;0.030625938;0.07472706;0.350276205;1.4
127;0.192561281;0.078214772;0.032079856;0.12002736;0.280705989;1.4
128;0.239281234;0.098353833;0.029342592;0.082787624;0.357190702;1.4
129;0.20177787;0.074655125;0.024953227;0.081060087;0.332280144;1.4
130;0.205787773;0.078263102;0.026598277;0.077577898;0.347477047;1.4
131;0.232309848;0.101499871;0.04503561;0.151014563;0.318194967;1.4
132;0.213890076;0.083501059;0.026856414;0.091430318;0.338593599;1.4
133;0.215101369;0.090141415;0.037196589;0.127011324;0.30926812;1.4
134;0.215588937;0.086969741;0.031332939;0.101004829;0.326371869;1.4
135;0.200136395;0.075158866;0.026412507;0.092899681;0.32209547;1.4
136;0.248190838;0.097654871;0.028809469;0.093419338;0.37507906;1.4
137;0.203431193;0.079800102;0.025254484;0.063797367;0.354892331;1.4
138;0.208202565;0.087736126;0.031766727;0.109529014;0.306771454;1.4
139;0.243683895;0.099072442;0.02972747;0.090051375;0.365019135;1.4
140;0.255648513;0.107308306;0.037307188;0.11252433;0.369944652;1.4
141;0.203009282;0.076395576;0.024138021;0.067299601;0.353033768;1.4
142;0.200282344;0.076565641;0.023845792;0.056695194;0.366764463;1.4
143;0.245146004;0.099327856;0.037827384;0.096181417;0.395072981;1.4
144;0.217281836;0.089227669;0.033691965;0.104037276;0.337140777;1.4
145;0.24832383;0.095616344;0.026497725;0.076781428;0.406575721;1.4
146;0.216377094;0.088115667;0.032398012;0.090730236;0.346506706;1.4
147;0.165452967;0.059676291;0.020797246;0.063944034;0.310668395;1.4
148;0.190328649;0.072010133;0.027027956;0.101800335;0.297340564;1.4
149;0.261478906;0.11351338;0.045562751;0.118889643;0.382273334;1.4
150;0.235700306;0.097030051;0.034671888;0.11270376;0.357923825;1.4
151;0.273193626;0.113004297;0.035634738;0.116995166;0.400998225;1.4
152;0.189772634;0.070790508;0.023424;0.072802373;0.325327321;1.4
153;0.195402302;0.071446179;0.020247787;0.051866164;0.379323848;1.4
154;0.24298911;0.105173576;0.039344326;0.134926071;0.333002613;1.4
155;0.245968154;0.101394752;0.036181062;0.106900515;0.366588088;1.4
156;0.216521899;0.084545573;0.024920398;0.082098561;0.34650987;1.4
157;0.19407814;0.074119277;0.026566488;0.098097673;0.301393136;1.4
158;0.260025833;0.099720715;0.031252057;0.086059132;0.420092212;1.4
159;0.215028075;0.080279384;0.030939973;0.098031895;0.35724539;1.4
160;0.268287318;0.101376165;0.028504768;0.09314545;0.416935618;1.4
161;0.179612002;0.064755492;0.018266203;0.066033876;0.310951503;1.4
162;0.178384402;0.067513816;0.023735877;0.071851946;0.306222945;1.4
163;0.224698197;0.089080281;0.031613874;0.105605279;0.341005226;1.4
164;0.190793933;0.072004576;0.026881201;0.07282176;0.340694333;1.4
165;0.219435797;0.084825529;0.023910318;0.079248923;0.352947868;1.4
