Env;m;MeanCorr;SDCorr
KET21;Model_0176;0.17;0.06
KET21;Model_0026;0.17;0.06
KET21;Model_0181;0.17;0.06
KET21;Model_0042;0.17;0.06
KET21;Model_0197;0.17;0.06
KET21;Model_0023;0.17;0.06
KET21;Model_0178;0.17;0.06
KET21;Model_0039;0.17;0.06
KET21;Model_0194;0.17;0.06
KET21;Model_0044;0.17;0.06
KET21;Model_0199;0.17;0.06
KET21;Model_0048;0.17;0.06
KET21;Model_0203;0.17;0.06
KET21;Model_0188;0.17;0.05
KET21;Model_0040;0.17;0.06
KET21;Model_0195;0.17;0.06
KET21;Model_0041;0.17;0.06
KET21;Model_0196;0.17;0.06
KET21;Model_0130;0.17;0.06
KET21;Model_0285;0.17;0.06
KET21;Model_0036;0.17;0.06
KET21;Model_0191;0.17;0.06
KET21;Model_0184;0.17;0.05
KET21;Model_0038;0.17;0.06
KET21;Model_0193;0.17;0.06
KET21;Model_0158;0.17;0.06
KET21;Model_0313;0.17;0.06
KET21;Model_0129;0.17;0.06
KET21;Model_0284;0.17;0.06
KET21;Model_0059;0.17;0.05
KET21;Model_0214;0.17;0.05
KET21;Model_0133;0.17;0.06
KET21;Model_0288;0.17;0.06
KET21;Model_0218;0.17;0.05
KET21;Model_0161;0.17;0.06
KET21;Model_0316;0.17;0.06
KET21;Model_0157;0.17;0.06
KET21;Model_0312;0.17;0.06
KET21;Model_0138;0.17;0.06
KET21;Model_0293;0.17;0.06
KET21;Model_0145;0.17;0.06
KET21;Model_0300;0.17;0.06
KET21;Model_0124;0.17;0.06
KET21;Model_0279;0.17;0.06
KET21;Model_0076;0.17;0.06
KET21;Model_0231;0.17;0.06
KET21;Model_0141;0.17;0.06
KET21;Model_0296;0.17;0.06
KET21;Model_0120;0.17;0.06
KET21;Model_0275;0.17;0.06
KET21;Model_0104;0.17;0.06
KET21;Model_0259;0.17;0.06
KET21;Model_0134;0.17;0.06
KET21;Model_0289;0.17;0.06
KET21;Model_0139;0.17;0.06
KET21;Model_0294;0.17;0.06
KET21;Model_0132;0.17;0.06
KET21;Model_0287;0.17;0.06
KET21;Model_0146;0.17;0.06
KET21;Model_0301;0.17;0.06
KET21;Model_0125;0.17;0.06
KET21;Model_0280;0.17;0.06
KET21;Model_0166;0.17;0.06
KET21;Model_0321;0.17;0.06
KET21;Model_0152;0.17;0.06
KET21;Model_0307;0.17;0.06
KET21;Model_0173;0.17;0.06
KET21;Model_0328;0.17;0.06
KET21;Model_0121;0.17;0.06
KET21;Model_0276;0.17;0.06
KET21;Model_0142;0.17;0.06
KET21;Model_0297;0.17;0.06
KET21;Model_0169;0.17;0.06
KET21;Model_0324;0.17;0.06
KET21;Model_0148;0.17;0.06
KET21;Model_0303;0.17;0.06
KET21;Model_0079;0.17;0.06
KET21;Model_0234;0.17;0.06
KET21;Model_0075;0.17;0.06
KET21;Model_0230;0.17;0.06
KET21;Model_0162;0.17;0.06
KET21;Model_0317;0.17;0.06
KET21;Model_0005;0.17;0.06
KET21;Model_0010;0.17;0.06
KET21;Model_0135;0.17;0.06
KET21;Model_0290;0.17;0.06
KET21;Model_0103;0.17;0.06
KET21;Model_0258;0.17;0.06
KET21;Model_0207;0.17;0.05
KET21;Model_0170;0.17;0.06
KET21;Model_0325;0.17;0.06
KET21;Model_0149;0.17;0.06
KET21;Model_0304;0.17;0.06
KET21;Model_0174;0.17;0.06
KET21;Model_0329;0.17;0.06
KET21;Model_0153;0.17;0.06
KET21;Model_0308;0.17;0.06
KET21;Model_0167;0.17;0.06
KET21;Model_0322;0.17;0.06
KET21;Model_0008;0.17;0.05
KET21;Model_0163;0.17;0.06
KET21;Model_0318;0.17;0.06
KET21;Model_0160;0.17;0.06
KET21;Model_0315;0.17;0.06
KET21;Model_0006;0.17;0.05
KET21;Model_0078;0.17;0.06
KET21;Model_0233;0.17;0.06
KET21;Model_0007;0.17;0.06
KET21;Model_0177;0.16;0.05
KET21;Model_0105;0.16;0.06
KET21;Model_0260;0.16;0.06
KET21;Model_0085;0.16;0.06
KET21;Model_0240;0.16;0.06
KET21;Model_0037;0.16;0.06
KET21;Model_0192;0.16;0.06
KET21;Model_0071;0.16;0.06
KET21;Model_0226;0.16;0.06
KET21;Model_0092;0.16;0.06
KET21;Model_0247;0.16;0.06
KET21;Model_0111;0.16;0.06
KET21;Model_0266;0.16;0.06
KET21;Model_0099;0.16;0.06
KET21;Model_0254;0.16;0.06
KET21;Model_0118;0.16;0.06
KET21;Model_0273;0.16;0.06
KET21;Model_0131;0.16;0.06
KET21;Model_0286;0.16;0.06
KET21;Model_0106;0.16;0.06
KET21;Model_0261;0.16;0.06
KET21;Model_0094;0.16;0.06
KET21;Model_0249;0.16;0.06
KET21;Model_0113;0.16;0.06
KET21;Model_0268;0.16;0.06
KET21;Model_0066;0.16;0.06
KET21;Model_0221;0.16;0.06
KET21;Model_0087;0.16;0.06
KET21;Model_0242;0.16;0.06
KET21;Model_0080;0.16;0.06
KET21;Model_0235;0.16;0.06
KET21;Model_0084;0.16;0.06
KET21;Model_0239;0.16;0.06
KET21;Model_0091;0.16;0.06
KET21;Model_0246;0.16;0.06
KET21;Model_0070;0.16;0.06
KET21;Model_0225;0.16;0.06
KET21;Model_0110;0.16;0.06
KET21;Model_0265;0.16;0.06
KET21;Model_0098;0.16;0.06
KET21;Model_0253;0.16;0.06
KET21;Model_0117;0.16;0.06
KET21;Model_0272;0.16;0.06
KET21;Model_0088;0.16;0.06
KET21;Model_0243;0.16;0.06
KET21;Model_0067;0.16;0.06
KET21;Model_0222;0.16;0.06
KET21;Model_0114;0.16;0.06
KET21;Model_0269;0.16;0.06
KET21;Model_0095;0.16;0.06
KET21;Model_0250;0.16;0.06
KET21;Model_0107;0.16;0.06
KET21;Model_0262;0.16;0.06
KET21;Model_0081;0.16;0.06
KET21;Model_0236;0.16;0.06
KET21;Model_0159;0.16;0.06
KET21;Model_0314;0.16;0.06
KET21;Model_0128;0.16;0.06
KET21;Model_0283;0.16;0.06
KET21;Model_0127;0.16;0.06
KET21;Model_0282;0.16;0.06
KET21;Model_0155;0.16;0.06
KET21;Model_0310;0.16;0.06
KET21;Model_0156;0.16;0.06
KET21;Model_0311;0.16;0.06
KET21;Model_0077;0.16;0.06
KET21;Model_0232;0.16;0.06
KET21;Model_0004;0.16;0.06
KET21;Model_0009;0.16;0.06
KET21;Model_0074;0.16;0.06
KET21;Model_0229;0.16;0.06
KET21;Model_0101;0.16;0.06
KET21;Model_0256;0.16;0.06
KET21;Model_0073;0.16;0.06
KET21;Model_0228;0.16;0.06
KET21;Model_0102;0.16;0.05
KET21;Model_0257;0.16;0.05
MCG23;Model_0118;0.12;0.03
MCG23;Model_0273;0.12;0.03
MCG23;Model_0297;0.12;0.03
MCG23;Model_0141;0.12;0.03
MCG23;Model_0296;0.12;0.03
MCG23;Model_0120;0.12;0.03
MCG23;Model_0275;0.12;0.03
MCG23;Model_0243;0.12;0.03
MCG23;Model_0134;0.12;0.03
MCG23;Model_0289;0.12;0.03
MCG23;Model_0325;0.12;0.03
MCG23;Model_0169;0.12;0.03
MCG23;Model_0324;0.12;0.03
MCG23;Model_0148;0.12;0.03
MCG23;Model_0303;0.12;0.03
MCG23;Model_0162;0.12;0.03
MCG23;Model_0317;0.12;0.03
MCG23;Model_0087;0.12;0.03
MCG23;Model_0242;0.12;0.03
MCG23;Model_0066;0.12;0.03
MCG23;Model_0221;0.12;0.03
MCG23;Model_0080;0.12;0.03
MCG23;Model_0235;0.12;0.03
MCG23;Model_0269;0.12;0.03
